0.000000000000000000e+00 0.000000000000000000e+00
1.111111111111111049e-01 -1.828606032865124353e-01
2.222222222222222099e-01 -1.969757056175915899e-01
3.333333333333333148e-01 3.224489207592676904e-02
4.444444444444444198e-01 1.185608243988407751e-01
5.555555555555555802e-01 2.369772432271803619e-01
6.666666666666666297e-01 3.348706497363381218e-01
7.777777777777776791e-01 4.321333788221870531e-01
8.888888888888888395e-01 2.394307072607692877e-01
1.000000000000000000e+00 0.000000000000000000e+00
